method,physical_qubits,mse_vs_ideal,wasserstein_vs_ideal
ideal,4,0.0,0.0
no_qec,4,0.0001235870836794716,0.005271246328110878
uniform_repetition_d3,12,0.00044092058021758847,0.008714764801375495
application_aware,14,6.998681469280926e-05,0.0034539015936344963
