method,mse_vs_ideal,wasserstein_vs_ideal
ideal,0.0,0.0
no_qec_depolarizing,0.006252160678694156,0.06385823416047477
no_qec_bitflip,0.005902212943617283,0.060375343413096055
no_qec_phaseflip,0.003319761314493774,0.0415671386435319
no_qec_readout,0.006649131164918145,0.00818202273757231
