sensitivity_rank,logical_qubit,feature_pair,z_mse,x_mse,combined_mse
1,1,"features[2], features[3]",0.0005691254567318352,0.0019841631734534406,0.001276644315092638
2,0,"features[0], features[1]",0.001830577111656679,4.764136808088755e-05,0.0009391092398687833
3,2,"features[4], features[5]",0.000511099501798621,0.0009022695557749383,0.0007066845287867796
4,3,"features[6], features[7]",0.0008989731720147075,9.910500985830541e-05,0.0004990390909365064
