epoch,loss
0,6.305000260976278
1,4.5806657134964786
2,4.154513454247757
3,3.684556038619686
4,3.2835709968574145
5,2.980538702789667
6,2.8175988080645085
7,2.5331252198136074
8,2.0197231914039078
9,1.608419702442972
10,1.4773495890342567
11,1.4900578065243075
12,1.4776905850697675
13,1.469421078236291
14,1.465656076386518
15,1.452044563333494
16,1.4305840236656855
17,1.4204376062201294
18,1.4126045826858702
19,1.4113860364040742
20,1.408497673963705
21,1.4047261370192978
22,1.397373206386344
23,1.395943820915941
24,1.3900253910079108
25,1.3888802226010608
26,1.388054243184148
27,1.3895807829831182
28,1.3891409337768839
29,1.3903721552432795
30,1.3917954165596784
31,1.3881334637552964
32,1.3922728801571211
33,1.3906995708721506
34,1.3901417031981596
35,1.38992191058995
36,1.3923868035773304
37,1.39481496446732
38,1.3954602339037498
39,1.398719330605426
40,1.3946656367718737
41,1.3905120424779494
42,1.3947709243987303
43,1.3907143598897034
44,1.3930725102981116
45,1.3900314601322987
46,1.3914886902428598
47,1.3904775270095835
48,1.3913134598456571
49,1.3923743154856438
50,1.3944911269190117
51,1.3905685643532626
52,1.3944525410853508
53,1.3888837294330507
54,1.3907758228841405
55,1.3934213235093629
56,1.3924048865817436
57,1.3911203952017366
58,1.3928417175822614
59,1.3927559632313835
60,1.3898631431905424
61,1.396815558067742
62,1.3960749899285423
63,1.3910338682604961
64,1.3933618997399566
65,1.3971802692153172
66,1.4013199320015022
67,1.4054384915721323
68,1.3981466733144388
69,1.4043159558964367
70,1.3957736128821943
71,1.3960130014322965
72,1.391480789728367
73,1.4038190322600699
74,1.3980269039515172
75,1.4032018556265045
76,1.4025089224653766
77,1.4024492060591356
78,1.395187938416605
79,1.3962983227805785
80,1.40544240006717
81,1.4097259028899294
82,1.4032299361523295
83,1.4009999483561644
84,1.4012173544540296
85,1.404090233070273
86,1.4016197902089282
87,1.4053959701888437
88,1.4057048350127683
89,1.4066020879512076
90,1.404607168071076
91,1.3971771670979047
92,1.3967806096084519
93,1.3960670361334553
94,1.397951710322
95,1.39706537219127
96,1.3972971286590947
97,1.392689679464332
98,1.3922542888466176
99,1.3910353257196695
100,1.390662215258154
101,1.3929890445202642
102,1.3941877961305567
103,1.3949205328826442
104,1.391431287938849
105,1.3890957411450189
106,1.390989096192815
107,1.4013475460991487
108,1.398906230212877
109,1.4026463935172833
110,1.4050791394170703
111,1.4056522964548956
112,1.3956793057302632
113,1.3930426256798265
114,1.3947242766173307
115,1.3986369962234924
116,1.3946475478333484
117,1.3910593150251873
118,1.393202208997168
119,1.3953296305402934
120,1.3906611932902078
121,1.389059318664605
122,1.3899778022831324
123,1.3932975160461536
124,1.3899798443312092
125,1.3947004647962307
126,1.3931277906741415
127,1.3966316034957695
128,1.3988964682493332
129,1.4015273983197896
130,1.4068153651291972
131,1.3952971982135034
132,1.396080008179172
133,1.3959780853214394
134,1.3902837299285102
135,1.3944097960820656
136,1.3987839764392518
137,1.3940185707255413
138,1.392691106735898
139,1.3941156010604565
140,1.3962787778529797
141,1.4000165647308744
142,1.3998967125349435
143,1.4027269593495355
144,1.4009611855094328
145,1.3983148664478111
146,1.4039808020433422
147,1.4000202707093157
148,1.4002240857721804
149,1.3955111884442353
150,1.3932752924338767
151,1.3938394678169919
152,1.3954497320551464
153,1.395806375625479
154,1.391734236738128
155,1.3951856335008712
156,1.3958612731675075
157,1.3947023113965282
158,1.39252829106964
159,1.3916925885075782
160,1.3954419401531981
161,1.4145073602362663
162,1.4102748241100715
163,1.3955498343232116
164,1.4031005844281794
165,1.3945055437483793
166,1.3902964011335341
167,1.3967179141768589
168,1.3953550335027014
169,1.394405799381043
170,1.3939502483235757
171,1.3968229409425255
172,1.3933714894525444
173,1.4019460009885873
174,1.3958078289576217
175,1.3939645321885337
176,1.3923369701849195
177,1.4062549165584346
178,1.403763079672474
179,1.4007697850276237
180,1.4001957611211266
181,1.3956702842280755
182,1.3970243915744691
183,1.3921187893942875
184,1.3991309726740653
185,1.3960293441873768
186,1.3945125095129467
187,1.397891706463961
188,1.3889343405172823
189,1.395424488839533
190,1.3940158130659235
191,1.3982109614057892
192,1.3897546822763807
193,1.3942130931762686
194,1.3937613748810231
195,1.398988149670492
196,1.4005170947740928
197,1.4044854773282753
198,1.3947532553809143
199,1.3973011116656213
